ActivityName;Description;Cost;Time;Proximity;Group;Energy;In / Out;Picture
Rock Climbing;Rockclimbing works both your mind and body. It trains you to think outside the box, and you get a full body workout!;$$;1-2H;Yes;Friends;High;Indoor;https://images.pexels.com/photos/7590931/pexels-photo-7590931.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Spike Ball;Grab a spikeball set and go to a park for a fun time with friends!;$;1-2H;Yes;Friends;High;Outdoor;https://cdn.shopify.com/s/files/1/0152/1325/products/2190752c3477c13977e0788299c3ee55_grande.png
Paint and Sip at Home;Grab a wine glass, put on a Bob Ross video, and start painting!;$;3-5H;No;Friends;Low;Indoor;https://cdn.britannica.com/03/193803-050-CBC590FA/Bob-Ross.jpg
Puzzle Night;Grab a drink, turn on some music, and assemble a puzzle together!;$;3-5H;No;Friends;Low;Indoor;https://moneylifewax.com/wp-content/uploads/2019/06/puzzle-night.png
Jackbox;Jackbox is a series of party video games where your phone is the controller and up to 8 people can play. It's available on multiple platforms (PS4, PS3, Nintendo Switch, Windows, MacOS, and many more)! There are drawing games, trivias, writing game, etc. Get ready for a load of fun and laughters XD;$$;1-2H;No;Friends;Medium;Indoor;https://www.greenmangaming.com/blog/wp-content/uploads/2020/06/Jackbox-Feature-890x606.jpg
Picnic;Everyone bring something to eat and drink!;$;3-5H;Yes;Friends;Medium;Outdoor;https://images.pexels.com/photos/745045/pexels-photo-745045.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Paint Nite Bar;Join a paint night gathering in a bar. Every equipment for painting will be ready there. Go grab a drink and enjoy painting!;$$;1-2H;Yes;Friends;Medium;Indoor;https://s3fs.paintnite.com/static/assets/calendar/virtual-events.jpg
Board Game - RummyKub;Are you good at numbers? I bet you are! Try RummiKub and beat your friends!;$;3-5H;No;Friends;Low;Indoor;https://rummikub.com/wp-content/uploads/2021/12/Playing-Rummikub-with-Kids.jpg
Vancouver Art Gallery;Let's enjoy some art! Free at Tuesdays evenings! Don't know what to say to friends when appreciating paintings? Try saying  I love the quality of the brush stroke of this artist. Works everytime.;$;1-2H;Yes;Friends;Medium;Indoor;https://contentadmin.vanartgallery.bc.ca/wp-content/uploads/2019/06/5_HISTORY-Robson-Square-Vancouver-Art-Gallery-1024PX.jpg
Make yo own pizza;What's better than having Italian food any time you want? Making it yourself! Although this activity requires some preparation, the final product is definitely worth it. Get anyone you want, buy ingredients and toss some dough!;$$;3-5H;No;Any;Medium;Indoor;https://images.unsplash.com/photo-1513104890138-7c749659a591?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Board Game Night;100% of friendships are ruined by Monopoly. If you value each other, maybe you should avoid this activity! But, if you want to spark some animosity and rivalries, you should play some board games.;$;3-5H;No;Any;Low;Indoor;https://images.unsplash.com/photo-1589804845133-49b5e06cc415?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1035&q=80
Clay;It's like playdoh but for adults. Flex your creative muscles and make anything you want.;$$;3-5H;No;Any;Low;Indoor;https://images.unsplash.com/photo-1422246358533-95dcd3d48961?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Spa;Get ready for a day of rest and relaxation. Invite some people, and go get pampered.;$$$;1-2H;Yes;Any;Low;Indoor;https://images.unsplash.com/photo-1600334129128-685c5582fd35?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Massage;Feeling sore after sitting in front of a computer for 8 hours a day? This activity will be perfect for you! Go get your muscles loosened, and finally feel relaxed.;$$$;1-2H;Yes;Any;Low;Indoor;https://images.unsplash.com/photo-1544161515-4ab6ce6db874?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Karaoke;Do karaoke! Everyone's a star at karaoke. FYI, you can sing as long as you want in Solo Karaoke, Burnaby;$$;3-5H;Yes;Any;Medium;Indoor;https://ca-times.brightspotcdn.com/dims4/default/dd6a41d/2147483647/strip/true/crop/5304x3648+0+0/resize/1200x825!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fd5%2Fc6%2F6dd95e304b3781329b66fae242c4%2Fla-photos-1staff-773361-fo-the-boulevard-pasadena62-mam.jpg
Science World After Dark;Remember going to science world as a kid? What could be better than that. Except now, you can go to Science World AND drink!;$$;3-5H;Yes;Friends;Medium;Indoor;https://images.unsplash.com/photo-1544161513-0179fe746fd5?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Trivia at a Bar;Ready to show the world how much random information is stored in your head? Go form your team and head to a local bar on trivia night.;$$;3-5H;Yes;Friends;Medium;Indoor;https://images.unsplash.com/photo-1570937943292-a574bd5bc722?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
